Iteration,Rank
0,11
50,11
100,11
150,11
200,11
250,5
300,11
350,11
400,4
450,5
500,11
550,11
600,11
650,10
700,11
750,11
800,3
850,11
900,11
950,1
1000,8
1050,1
1100,1
1150,2
1200,3
1250,1
1300,1
1350,1
1400,1
1450,1
1500,5
1550,9
1600,1
1650,1
1700,1
1750,1
1800,1
1850,1
1900,1
1950,1
2000,4
