Iteration,Rank
0,10
50,1
100,2
150,9
200,7
250,1
300,2
350,9
400,7
450,2
500,1
550,1
600,7
650,1
700,9
750,1
800,8
850,7
900,7
950,3
1000,4
1050,6
1100,5
1150,1
1200,11
1250,7
1300,7
1350,3
1400,8
1450,4
1500,1
1550,4
1600,10
1650,7
1700,11
1750,1
1800,5
1850,1
1900,10
1950,2
2000,6
