Iteration,Rank
0,3
50,4
100,11
150,11
200,11
250,11
300,11
350,11
400,10
450,11
500,11
550,1
600,8
650,3
700,11
750,4
800,2
850,11
900,11
950,1
1000,9
1050,11
1100,11
1150,11
1200,11
1250,11
1300,1
1350,4
1400,1
1450,1
1500,6
1550,4
1600,10
1650,1
1700,1
1750,2
1800,1
1850,11
1900,1
1950,1
2000,2
