Iteration,Rank
0,8
50,1
100,4
150,10
200,1
250,6
300,10
350,1
400,8
450,5
500,5
550,8
600,7
650,7
700,5
750,11
800,1
850,6
900,4
950,11
1000,11
1050,5
1100,3
1150,2
1200,11
1250,7
1300,11
1350,6
1400,11
1450,11
1500,11
1550,3
1600,11
1650,10
1700,3
1750,10
1800,10
1850,7
1900,5
1950,2
2000,8
