Iteration,Rank
0,5
50,5
100,2
150,1
200,2
250,1
300,2
350,7
400,11
450,1
500,11
550,11
600,1
650,9
700,5
750,1
800,1
850,11
900,5
950,11
1000,6
1050,9
1100,3
1150,9
1200,9
1250,9
1300,9
1350,6
1400,6
1450,4
1500,2
1550,1
1600,8
1650,1
1700,11
1750,11
1800,1
1850,10
1900,1
1950,5
2000,11
