Iteration,Rank
0,1
50,11
100,8
150,11
200,11
250,1
300,9
350,6
400,11
450,1
500,1
550,11
600,2
650,1
700,11
750,1
800,7
850,8
900,11
950,11
1000,11
1050,11
1100,1
1150,1
1200,11
1250,8
1300,11
1350,1
1400,11
1450,7
1500,1
1550,9
1600,1
1650,1
1700,8
1750,7
1800,1
1850,5
1900,11
1950,3
2000,9
